ID;Gemeente;VO;MBO;HBO;WO;Inwoners
GM0622;Vlaardingen;3697;2367;1453;525;70905
GM0048;Vlagtwedde;806;625;191;38;16132
GM0096;Vlieland;72;22;7;1;1114
GM0718;Vlissingen;2170;1545;1416;55;44451
GM0623;Vlist;659;291;249;78;9730
GM0986;Voerendaal;720;308;302;56;12617
GM0626;Voorschoten;1575;474;427;310;24658
GM0285;Voorst;1381;789;502;82;23724
GM0865;Vught;1724;582;495;163;25564
GM0866;Waalre;1149;366;332;109;16725
GM0867;Waalwijk;2606;1378;868;215;46438
GM0627;Waddinxveen;1615;730;548;222;25217
GM0289;Wageningen;1738;561;769;5473;37408
GM0629;Wassenaar;1549;384;307;242;25656
GM0852;Waterland;1007;454;372;151;17091
GM0988;Weert;2619;1532;1027;261;48587
GM0457;Weesp;926;441;347;152;18151
GM0870;Werkendam;1641;800;476;112;26405
GM0668;West Maas en Waal;1179;546;337;81;18410
GM1701;Westerveld;1153;524;282;34;19091
GM0293;Westervoort;956;626;418;84;15199
GM1783;Westland;6145;3367;2291;669;102698
GM0098;Weststellingwerf;1418;961;459;58;25595
GM0614;Westvoorne;840;373;197;61;13890
GM0189;Wierden;1548;822;570;115;23807
GM0296;Wijchen;2631;1284;844;250;41004
GM1696;Wijdemeren;1471;525;378;132;23221
GM0352;Wijk bij Duurstede;1580;734;409;111;23035
GM0053;Winsum;929;484;265;62;13906
GM0294;Winterswijk;1750;981;494;70;28967
GM0873;Woensdrecht;1133;609;326;34;21648
GM0632;Woerden;3283;1365;1131;422;50346
GM1690;De Wolden;1605;857;395;67;23761
GM0880;Wormerland;1034;511;305;119;15740
GM0351;Woudenberg;841;415;254;70;12321
GM0874;Woudrichem;905;376;311;65;14443
GM0479;Zaanstad;8425;4775;3030;1048;149622
GM0297;Zaltbommel;1834;876;432;122;26953
GM0473;Zandvoort;749;367;278;95;16593
GM0707;Zederik;908;463;263;80;13538
GM0478;Zeevang;463;206;114;38;6317
GM0050;Zeewolde;1777;741;441;101;21262
GM0355;Zeist;3658;1389;1262;1087;61420
GM0299;Zevenaar;1779;1112;622;136;32405
GM0637;Zoetermeer;7241;4003;3117;1256;123092
GM0638;Zoeterwoude;563;236;211;79;8122
GM0056;Zuidhorn;1348;631;371;131;18699
GM1892;Zuidplas;2778;1170;933;349;40779
GM0879;Zundert;1300;670;447;93;21241
GM0301;Zutphen;2993;1489;871;190;47240
GM1896;Zwartewaterland;1629;884;359;45;22139
GM0642;Zwijndrecht;2462;1495;884;285;44610
GM0193;Zwolle;6482;3945;5120;751;122562
